"","neuro$Q10","Q3_3","Q3_8","Q3_13","Q3_18","Q3_23","Q3_28","Q3_33","Q3_38","total"
"90","5d6eb9feb26c1100190cb661",5,5,5,4,4,5,4,5,37
"91","5d76d69025bd910001d48c50",4,2,4,1,3,4,4,4,26
"92","5d8507a6611c9700152f1126",4,4,4,3,5,4,4,4,32
"93","5d89fa922e2fd200012b81bc",5,4,5,5,4,4,4,4,35
"94","5d8a37f57b6370001a03bb29",3,2,4,2,2,2,4,4,23
"95","5d91b008f9f7440016406572",3,2,5,1,1,4,4,4,24
"96","5d9a115930e92d0015577d47",4,3,4,4,4,4,4,3,30
"97","5d9cfa1924341a001223e4d4",3,2,5,4,4,4,5,4,31
"98","5da9ce4625a3890010e53632",5,3,5,4,2,5,5,2,31
"99","5db306ae679c65000bb4bb9a",5,2,5,5,2,4,5,3,31
"100","5db88031e5d8f1000e4e9eab",5,4,5,4,3,3,5,5,34
"101","5db955911f222a000b322b0d",4,4,1,3,4,3,4,4,27
"102","5dbc12b658c6ee1cdbc84aaf",3,4,4,4,4,4,5,5,33
"103","5dcaeb49d987357b5ac60536",2,1,4,1,1,2,4,4,19
"104","5dd11aaddba6341b06d3e71c",3,1,5,4,2,2,4,4,25
"105","5dd1d8f0fd5b28234b15f090",5,5,5,5,5,5,5,4,39
"106","5dd7fa59f604bc000bdb5093",4,2,5,2,2,4,4,4,27
"107","5dd94935dfe9da8c913bfbc9",4,4,4,5,4,5,4,4,34
"108","5ddc4bf39d9e30bb7ec1d737",3,2,2,2,2,3,3,4,21
"109","5de4eb36c4ba0907aedd3443",2,1,4,1,3,3,4,1,19
